[01/25] TrainAcc=0.8967, ValAcc=0.8908, F1=0.8905
[02/25] TrainAcc=0.9162, ValAcc=0.8755, F1=0.8763
[03/25] TrainAcc=0.9334, ValAcc=0.9010, F1=0.9009
[04/25] TrainAcc=0.9424, ValAcc=0.8349, F1=0.8317
[05/25] TrainAcc=0.9435, ValAcc=0.9001, F1=0.8996
[06/25] TrainAcc=0.9546, ValAcc=0.8907, F1=0.8893
[07/25] TrainAcc=0.9588, ValAcc=0.8877, F1=0.8871
[08/25] TrainAcc=0.9636, ValAcc=0.9149, F1=0.9138
[09/25] TrainAcc=0.9710, ValAcc=0.9120, F1=0.9114
[10/25] TrainAcc=0.9739, ValAcc=0.8990, F1=0.8970
[11/25] TrainAcc=0.9802, ValAcc=0.9079, F1=0.9072
[12/25] TrainAcc=0.9834, ValAcc=0.9281, F1=0.9272
[13/25] TrainAcc=0.9854, ValAcc=0.9195, F1=0.9178
[14/25] TrainAcc=0.9896, ValAcc=0.9259, F1=0.9248
[15/25] TrainAcc=0.9929, ValAcc=0.9293, F1=0.9287
[16/25] TrainAcc=0.9940, ValAcc=0.9279, F1=0.9272
[17/25] TrainAcc=0.9958, ValAcc=0.9290, F1=0.9277
[18/25] TrainAcc=0.9977, ValAcc=0.9199, F1=0.9179
[19/25] TrainAcc=0.9978, ValAcc=0.9333, F1=0.9323
[20/25] TrainAcc=0.9990, ValAcc=0.9364, F1=0.9356
[21/25] TrainAcc=0.9994, ValAcc=0.9314, F1=0.9299
[22/25] TrainAcc=0.9998, ValAcc=0.9398, F1=0.9390
[23/25] TrainAcc=0.9999, ValAcc=0.9385, F1=0.9376
[24/25] TrainAcc=0.9999, ValAcc=0.9387, F1=0.9378
[25/25] TrainAcc=0.9999, ValAcc=0.9384, F1=0.9375
Best Validation Accuracy: 0.9398
Final F1 Score: 0.9375
